Constituent Number,Constituent Type,Group ID,Group Name Lookup,Company(Y|N)
42,1,15126,2016-2017 Board,0
42,1,45384,Endowment Committee,0
62,1,85461,Gospel Singing Event,0
63,1,15124,Golf Classic,0
64,1,15124,Golf Classic,0
73,1,115568,Referring Offices,0
80,1,15124,Golf Classic,0
87,1,15024,Accepts Email Contact,0
87,1,95561,Accepts Text Message,0
87,1,95562,Wants Event Info,0
87,1,95563,Wants Magazine Mailing,0
87,1,95564,Wants Race Info,0
87,1,95565,Wants Concert Info,0
87,1,15127,Friendraiser Banquet,0
99,1,55410,Impact SK Race 2017,0
122,1,15126,2016-2017 Board,0
122,1,55386,2017-2018 Board Members,0
122,1,55385,Camp Ability Luncheon,0
122,1,15124,Golf Classic,0
122,1,85486,LLC Board,0
137,2,55385,Camp Ability Luncheon,1
139,2,65461,Cornelius Christmas,1
139,2,55385,Camp Ability Luncheon,1
150,2,15124,Golf Classic,1
159,2,55385,Camp Ability Luncheon,1
164,2,55385,Camp Ability Luncheon,1
164,2,65461,Cornelius Christmas,1
170,2,65461,Cornelius Christmas,1
170,2,55385,Camp Ability Luncheon,1
172,2,65461,Cornelius Christmas,1
172,2,15124,Golf Classic,1
181,2,15124,Golf Classic,1
181,2,65461,Cornelius Christmas,1
181,2,55385,Camp Ability Luncheon,1
183,2,55385,Camp Ability Luncheon,1
193,1,45384,Endowment Committee,0
209,1,15124,Golf Classic,0
227,1,45384,Endowment Committee,0
227,1,15124,Golf Classic,0
231,1,45384,Endowment Committee,0
231,1,55410,Impact SK Race 2017,0
273,1,15126,2016-2017 Board,0
273,1,55386,2017-2018 Board Members,0
273,1,55385,Camp Ability Luncheon,0
273,1,85486,LLC Board,0
274,1,15126,2016-2017 Board,0
295,1,15124,Golf Classic,0
302,1,45384,Endowment Committee,0
310,1,15124,Golf Classic,0
360,1,15124,Golf Classic,0
367,1,15124,Golf Classic,0
397,1,15126,2016-2017 Board,0
397,1,55386,2017-2018 Board Members,0
397,1,55385,Camp Ability Luncheon,0
397,1,15124,Golf Classic,0
433,1,45384,Endowment Committee,0
433,1,15127,Friendraiser Banquet,0
433,1,75461,Year-End Tax Letter,0
441,1,55386,2017-2018 Board Members,0
441,1,55385,Camp Ability Luncheon,0
441,1,45384,Endowment Committee,0
441,1,85486,LLC Board,0
458,1,15124,Golf Classic,0
531,1,65461,Cornelius Christmas,0
531,1,95561,Accepts Text Message,0
531,1,15026,Accepts Postal Contact,0
531,1,15025,Accepts Phone Contact,0
531,1,15024,Accepts Email Contact,0
531,1,55385,Camp Ability Luncheon,0
531,1,25279,November Campaign,0
531,1,25278,One Change/Monthly Giving,0
531,1,95562,Wants Event Info,0
531,1,15127,Friendraiser Banquet,0
533,1,15126,2016-2017 Board,0
533,1,55386,2017-2018 Board Members,0
533,1,55385,Camp Ability Luncheon,0
542,1,15124,Golf Classic,0
590,1,15126,2016-2017 Board,0
656,1,15126,2016-2017 Board,0
656,1,55386,2017-2018 Board Members,0
656,1,55385,Camp Ability Luncheon,0
656,1,45385,Impact Committee,0
656,1,85486,LLC Board,0
726,1,15124,Golf Classic,0
727,1,15124,Golf Classic,0
751,1,195752,Sunrise Session,0
787,1,15124,Golf Classic,0
814,1,15126,2016-2017 Board,0
814,1,55386,2017-2018 Board Members,0
814,1,55385,Camp Ability Luncheon,0
814,1,85486,LLC Board,0
830,1,15024,Accepts Email Contact,0
830,1,15127,Friendraiser Banquet,0
830,1,95565,Wants Concert Info,0
830,1,95562,Wants Event Info,0
830,1,95563,Wants Magazine Mailing,0
850,1,15124,Golf Classic,0
864,1,15124,Golf Classic,0
873,1,55385,Camp Ability Luncheon,0
881,1,15124,Golf Classic,0
965,1,15126,2016-2017 Board,0
965,1,55386,2017-2018 Board Members,0
965,1,55385,Camp Ability Luncheon,0
965,1,45384,Endowment Committee,0
972,1,15127,Friendraiser Banquet,0
997,2,55385,Camp Ability Luncheon,1
1009,2,55385,Camp Ability Luncheon,1
1013,2,15130,Grants,1
1013,2,55385,Camp Ability Luncheon,1
1018,2,55385,Camp Ability Luncheon,1
1018,2,15124,Golf Classic,1
1021,2,55385,Camp Ability Luncheon,1
1070,1,15126,2016-2017 Board,0
1070,1,55386,2017-2018 Board Members,0
1070,1,55385,Camp Ability Luncheon,0
1070,1,45384,Endowment Committee,0
1070,1,85486,LLC Board,0
1084,1,55385,Camp Ability Luncheon,0
1084,1,15127,Friendraiser Banquet,0
1091,1,45384,Endowment Committee,0
1111,1,55385,Camp Ability Luncheon,0
1115,1,55385,Camp Ability Luncheon,0
1130,1,55386,2017-2018 Board Members,0
1130,1,55385,Camp Ability Luncheon,0
1175,1,55410,Impact SK Race 2017,0
1176,1,15124,Golf Classic,0
1201,1,15126,2016-2017 Board,0
1201,1,55386,2017-2018 Board Members,0
1201,1,55385,Camp Ability Luncheon,0
1201,1,45385,Impact Committee,0
1201,1,85486,LLC Board,0
1267,1,15124,Golf Classic,0
1299,2,65461,Cornelius Christmas,1
1301,2,55385,Camp Ability Luncheon,1
1301,2,15127,Friendraiser Banquet,1
1301,2,15124,Golf Classic,1
1301,2,115568,Referring Offices,1
1304,2,15124,Golf Classic,1
1305,2,55385,Camp Ability Luncheon,1
1327,2,55385,Camp Ability Luncheon,1
1333,2,15124,Golf Classic,1
1333,2,85461,Gospel Singing Event,1
1335,2,55385,Camp Ability Luncheon,1
1337,2,55385,Camp Ability Luncheon,1
1356,2,15024,Accepts Email Contact,1
1356,2,15127,Friendraiser Banquet,1
1356,2,95565,Wants Concert Info,1
1356,2,95562,Wants Event Info,1
1356,2,95564,Wants Race Info,1
1362,2,55385,Camp Ability Luncheon,1
1366,2,55385,Camp Ability Luncheon,1
1374,2,55385,Camp Ability Luncheon,1
1378,2,65461,Cornelius Christmas,1
1384,2,65461,Cornelius Christmas,1
1384,2,55385,Camp Ability Luncheon,1
1385,2,55385,Camp Ability Luncheon,1
1385,2,65461,Cornelius Christmas,1
1399,2,55385,Camp Ability Luncheon,1
1400,2,55385,Camp Ability Luncheon,1
1407,2,55385,Camp Ability Luncheon,1
1410,2,55385,Camp Ability Luncheon,1
1412,2,55385,Camp Ability Luncheon,1
1416,2,55385,Camp Ability Luncheon,1
