Constituent Number,Company(Y|N),City,State,County Name,Postal Code,Gender
42,0,Murfreesboro,TN,Rutherford,37127,male
48,0,Murfreesboro,TN,Rutherford,37129,unknown
49,0,Nashville,TN,Davidson,37221,female
50,0,Murfreesboro,TN,Rutherford,37129,unknown
51,0,Murfreesboro,TN,Rutherford,37128,female
52,0,Lascassas,TN,Wilson,37085,female
53,0,Murfreesboro,TN,Rutherford,37129,female
54,0,Murfreesboro,TN,Rutherford,37129,unknown
55,0,Murfreesboro,TN,Rutherford,37127,female
56,0,Murfreesboro,TN,Rutherford,37130,female
57,0,Murfreesboro,TN,Rutherford,37128,male
58,0,Manchester,TN,Coffee,37355,female
59,0,Columbia,TN,Maury,38401,female
60,0,Murfreesboro,TN,Rutherford,37130,female
61,0,Murfreesboro,TN,Rutherford,37130,male
62,0,Cleveland,TN,Bradley,37323,female
63,0,Cleveland,TN,Bradley,37323,male
64,0,Cleveland,TN,Bradley,37323,female
65,0,,,,,female
66,0,,,,,male
68,0,Murfreesboro,TN,Rutherford,37129,female
69,0,,,,,female
70,0,,,,,female
71,0,,,,,female
72,0,Murfreesboro,TN,Rutherford,37129,female
73,0,Murfreesboro,TN,Rutherford,37129,male
74,0,Fort Pierce,FL,,34949,unknown
75,0,Christiana,TN,Rutherford,37037,female
76,0,Murfreesboro,TN,Rutherford,37129,female
77,0,Murfreesboro,TN,Rutherford,37129,female
79,0,Murfreesboro,TN,Rutherford,37130,female
80,0,Murfreesboro,TN,Rutherford,37129,male
81,0,Murfreesboro,TN,Rutherford,37129,female
82,0,Murfreesboro,TN,Rutherford,37129,unknown
83,0,Murfreesboro,TN,Rutherford,37129,female
84,0,Murfreesboro,TN,Rutherford,37129,male
85,0,Murfreesboro,TN,Rutherford,37129,unknown
86,0,Murfreesboro,TN,Rutherford,37128,female
87,0,Murfreesboro,TN,Rutherford,37129,female
88,0,,,,,male
89,0,Smithfield,KY,,40068,female
91,0,Murfreesboro,TN,Rutherford,37129,female
93,0,Murfreesboro,TN,Rutherford,37128,female
94,0,Cheyenne,WY,,82009,female
95,0,Mount Juliet,TN,Wilson,37122,female
96,0,Centennial,CO,,80112,male
97,0,,,,,male
98,0,,,,,female
99,0,Murfreesboro,TN,Rutherford,37130,unknown
100,0,,,,,female
101,0,Las Vegas,NV,,89109,male
102,0,Murfreesboro,TN,Rutherford,37130,female
103,0,Lascassas,TN,Wilson,37085,female
104,0,Wartrace,TN,,37183,female
105,0,Murfreesboro,TN,Rutherford,37128,female
106,0,Burns,TN,,37029,female
107,0,Murfreesboro,TN,Rutherford,37129,female
108,0,Mineral Bluff,GA,,30559,male
109,0,Mineral Bluff,GA,,30559,female
110,0,Hendersonville,TN,Sumner,37075,female
111,0,Hendersonville,TN,Sumner,37075,male
112,0,,,,,unknown
113,0,Murfreesboro,TN,Rutherford,37129,unknown
114,0,Anniston,AL,,36207,female
115,0,,,,,female
116,0,,,,,male
117,0,Murfreesboro,TN,Rutherford,37129,male
118,0,Murfreesboro,TN,Rutherford,37129,female
119,0,Murfreesboro,TN,Rutherford,37129,male
120,0,Manchester,TN,Coffee,37355,unknown
121,0,Murfreesboro,TN,Rutherford,37128,female
122,0,Murfreesboro,TN,Rutherford,37129,male
123,0,Murfreesboro,TN,Rutherford,37129,male
124,0,Belleville,IL,,62223,unknown
125,0,Murfreesboro,TN,Rutherford,37128,female
126,0,Murfreesboro,TN,Rutherford,37130,female
127,0,Arrington,TN,Rutherford,37014,female
128,0,Murfreesboro,TN,Rutherford,37133,male
129,0,Murfreesboro,TN,Rutherford,37128,female
130,0,Murfreesboro,TN,Rutherford,37130,female
131,0,Greensboro,NC,,27406,female
133,0,,,,,male
134,1,Murfreesboro,TN,Rutherford,37130,unknown
136,1,Murfreesboro,TN,Rutherford,37130,unknown
137,1,Murfreesboro,TN,Rutherford,37130,unknown
138,1,Murfreesboro,TN,Rutherford,37130,unknown
139,1,Murfreesboro,TN,Rutherford,37127,unknown
140,1,Murfreesboro,TN,Rutherford,37129,unknown
142,1,Murfreesboro,TN,Rutherford,37129,unknown
143,1,Murfreesboro,TN,Rutherford,37129,unknown
144,1,Murfreesboro,TN,Rutherford,37129,unknown
145,1,Murfreesboro,TN,Rutherford,37129,unknown
146,1,Murfreesboro,TN,Rutherford,37130,unknown
147,1,Murfreesboro,TN,Rutherford,37129,unknown
148,1,Murfreesboro,TN,Rutherford,37129,unknown
149,1,Murfreesboro,TN,Rutherford,37129,unknown
150,1,Murfreesboro,TN,Rutherford,37129,unknown
151,1,Murfreesboro,TN,Rutherford,37130,unknown
154,1,,,,,unknown
155,1,Lascassas,TN,Wilson,37085,unknown
156,1,Murfreesboro,TN,Rutherford,37130,unknown
157,1,Murfreesboro,TN,Rutherford,37128,unknown
158,1,Murfreesboro,TN,Rutherford,37130,unknown
159,1,Murfreesboro,TN,Rutherford,37130,unknown
160,1,Murfreesboro,TN,Rutherford,37129,unknown
161,1,Murfreesboro,TN,Rutherford,37129,unknown
162,1,Murfreesboro,TN,,37132,unknown
164,1,Murfreesboro,TN,Rutherford,37130,unknown
165,1,Murfreesboro,TN,Rutherford,37130,unknown
167,1,Murfreesboro,TN,Rutherford,37130,unknown
170,1,Murfreesboro,TN,Rutherford,37130,unknown
171,1,Murfreesboro,TN,Rutherford,37130,unknown
172,1,Murfreesboro,TN,Rutherford,37129,unknown
173,1,Murfreesboro,TN,Rutherford,37129,unknown
174,1,Murfreesboro,TN,Rutherford,37130,unknown
175,1,Murfreesboro,TN,Rutherford,37130,unknown
176,1,Orange Park,FL,,32073,unknown
177,1,Murfreesboro,TN,Rutherford,37129,unknown
178,1,Murfreesboro,TN,Rutherford,37128,unknown
180,1,Murfreesboro,TN,Rutherford,37129,unknown
181,1,Murfreesboro,TN,Rutherford,37129,unknown
182,1,Murfreesboro,TN,Rutherford,37130,unknown
183,1,Murfreesboro,TN,Rutherford,37127,unknown
193,0,Christiana,TN,Rutherford,37037,male
194,0,Rogersville,TN,Hawkins,37857,female
195,0,Murfreesboro,TN,Rutherford,37128,female
196,0,Murfreesboro,TN,Rutherford,37130,male
197,0,Murfreesboro,TN,Rutherford,37130,female
198,0,Milton,TN,Rutherford,37118,female
199,0,Murfreesboro,TN,Rutherford,37128,female
200,0,Murfreesboro,TN,Rutherford,37129,female
201,0,Seguin,TX,,78155,female
202,0,Seguin,TX,,78155,male
204,0,Murfreesboro,TN,Rutherford,37127,female
205,0,Murfreesboro,TN,Rutherford,37129,female
206,0,Smyrna,TN,Rutherford,37167,unknown
