Constituent Number,Relation Type Lookup,Company(Y|N),Constituent Number Relation,Company Relation(Y|N)
11571,Spouse,0,11572,0
7102,Owner,1,274,0
7102,Owner,1,273,0
1424,Owner,1,1657,0
8042,Employer,0,8028,1
2511,Employer,0,1519,1
8123,Employee,1,8569,0
1998,Unknown,0,24605,1
7172,Owned Organization,0,1399,1
7172,Owned Organization,0,997,1
7172,Owned Organization,0,7171,1
8000,Spouse,0,8001,0
10685,Spouse,0,10684,0
6151,Spouse,0,8664,0
7440,Employer,0,1014,1
8001,Spouse,0,8000,0
10453,Spouse,0,10452,0
10684,Spouse,0,10685,0
8664,Spouse,0,6151,0
13821,Employer,0,1519,1
13821,Acknowledgment Recipient,0,12042,1
3013,Spouse,0,2689,0
3013,Owned Organization,0,1399,1
10452,Spouse,0,10453,0
2687,Spouse,0,6660,0
2689,Spouse,0,3013,0
6660,Spouse,0,2687,0
1399,Owner,1,7172,0
1399,Owner,1,3013,0
997,Owner,1,7172,0
9435,Employee,1,11271,0
9435,Employee,1,719,0
9435,Employee,1,8875,0
1870,Spouse,0,1871,0
5016,Spouse,0,5017,0
1183,Spouse,0,1256,0
1871,Spouse,0,1870,0
1256,Spouse,0,1183,0
5017,Spouse,0,5016,0
6372,Spouse,0,6373,0
6373,Spouse,0,6372,0
27821,Employee,1,16485,0
7056,Spouse,0,7055,0
5038,Spouse,0,5039,0
5039,Spouse,0,5038,0
7055,Spouse,0,7056,0
7380,Spouse,0,7381,0
8388,Employee,1,9891,0
1899,Spouse,0,1898,0
1898,Spouse,0,1899,0
8505,Employer,0,8510,1
17340,Spouse,0,3000,0
3000,Spouse,0,17340,0
5203,Spouse,0,5204,0
5491,Employer,0,1487,1
5204,Spouse,0,5203,0
1576,Spouse,0,1577,0
7957,Spouse,0,7958,0
1577,Spouse,0,1576,0
7958,Spouse,0,7957,0
12566,Employee,1,12415,0
9254,Spouse,0,9255,0
7540,Spouse,0,7541,0
4836,Spouse,0,2920,0
9255,Spouse,0,9254,0
9255,Owner,0,20942,1
5472,Spouse,0,5473,0
8564,Employer,0,8565,1
4296,Spouse,0,10117,0
4296,Spouse,0,6796,0
4296,Spouse,0,4297,0
4987,Spouse,0,1222,0
4297,Spouse,0,4296,0
6796,Spouse,0,4296,0
7541,Spouse,0,7540,0
5473,Spouse,0,5472,0
1222,Spouse,0,4987,0
1222,Owned Organization,0,1652,1
12029,Employer,0,1335,1
10117,Spouse,0,4296,0
2920,Spouse,0,4836,0
1652,Owner,1,1222,0
8034,Employer,0,8028,1
1039,Spouse,0,1062,0
1062,Spouse,0,1039,0
8533,Employee,1,8532,0
12829,Employee,1,2450,0
2912,Employee,1,4207,0
1887,Spouse,0,1886,0
10052,Spouse,0,10051,0
10051,Spouse,0,10052,0
10051,Owned Organization,0,1310,1
8128,Spouse,0,8129,0
1886,Spouse,0,1887,0
8129,Spouse,0,8128,0
3429,Spouse,0,3428,0
12119,Employee,1,8713,0
7683,Spouse,0,7684,0
7684,Spouse,0,7683,0
2866,Spouse,0,2683,0
2683,Spouse,0,2866,0
8972,Spouse,0,8971,0
2355,Spouse,0,2354,0
6466,Spouse,0,6467,0
2932,Spouse,0,2933,0
12054,Employer,0,2440,1
12054,Acknowledgment Recipient,0,12042,1
12773,Spouse,0,13796,0
2933,Spouse,0,2932,0
13796,Spouse,0,12773,0
2354,Spouse,0,2355,0
8050,Employer,0,8028,1
8971,Spouse,0,8972,0
6467,Spouse,0,6466,0
12094,Employer,0,134,1
1444,Employee,1,1186,0
2353,Spouse,0,2352,0
2352,Spouse,0,2353,0
8504,Employer,0,1487,1
8033,Employer,0,8028,1
7038,Spouse,0,7037,0
7037,Spouse,0,7038,0
7037,Child,0,6920,0
7037,Mother,0,6920,0
6920,Mother,0,7037,0
6920,Spouse,0,7658,0
7658,Spouse,0,6920,0
6122,Employer,0,10978,1
2266,Spouse,0,2265,0
3430,Spouse,0,3431,0
3431,Spouse,0,3430,0
2265,Spouse,0,2266,0
2270,Spouse,0,2269,0
8130,Spouse,0,8131,0
8131,Spouse,0,8130,0
10157,Spouse,0,10158,0
10158,Spouse,0,10157,0
11110,Spouse,0,11109,0
11109,Spouse,0,11110,0
7346,Spouse,0,7347,0
7347,Spouse,0,7346,0
2939,Spouse,0,2938,0
2201,Spouse,0,2202,0
2202,Spouse,0,2201,0
2938,Spouse,0,2939,0
7639,Parent,0,10664,0
7646,Spouse,0,7647,0
7647,Spouse,0,7646,0
8738,Spouse,0,8739,0
8739,Spouse,0,8738,0
5041,Spouse,0,5040,0
5040,Spouse,0,5041,0
9816,Spouse,0,9815,0
9816,Employer,0,1410,1
9815,Spouse,0,9816,0
1445,Employee,1,12596,0
160,Employee,1,6815,0
160,Employee,1,4929,0
9618,Employee,1,18391,0
12651,Employee,1,12719,0
12651,Employee,1,12717,0
12651,Employee,1,12718,0
1111,Spouse,0,1133,0
1111,Employer,0,5015,1
1133,Spouse,0,1111,0
1133,Employer,0,5015,1
8331,Spouse,0,8332,0
8332,Spouse,0,8331,0
2562,Spouse,0,2561,0
4737,Spouse,0,4736,0
2561,Spouse,0,2562,0
4736,Spouse,0,4737,0
8695,Spouse,0,8696,0
8696,Spouse,0,8695,0
25114,Owner,1,26316,0
12409,Employer,0,134,1
5569,Spouse,0,5570,0
5570,Spouse,0,5569,0
1949,Spouse,0,1948,0
1948,Spouse,0,1949,0
1241,Spouse,0,13245,0
13245,Spouse,0,1241,0
7748,Spouse,0,7747,0
7747,Spouse,0,7748,0
9015,Employee,1,850,0
1926,Spouse,0,1925,0
1925,Spouse,0,1926,0
5561,Spouse,0,5562,0
5562,Spouse,0,5561,0
8722,Spouse,0,8721,0
11816,Brother,0,8721,0
8721,Spouse,0,8722,0
8721,Sibling,0,11816,0
139,Employee,1,6060,0
139,Employee,1,7379,0
139,Employee,1,2507,0
10488,Spouse,0,11702,0
11702,Spouse,0,10488,0
4624,Spouse,0,4625,0
4625,Spouse,0,4624,0
5030,Spouse,0,5031,0
5031,Spouse,0,5030,0
6695,Spouse,0,6696,0
6696,Spouse,0,6695,0
2941,Spouse,0,2942,0
2942,Spouse,0,2941,0
8329,Spouse,0,8330,0
8330,Spouse,0,8329,0
8735,Spouse,0,8736,0
1204,Spouse,0,1221,0
1221,Spouse,0,1204,0
8736,Spouse,0,8735,0
2944,Spouse,0,6135,0
6135,Spouse,0,2944,0
2946,Spouse,0,2945,0
2945,Spouse,0,2946,0
5460,Employer,0,1304,1
10199,Spouse,0,10116,0
10448,Spouse,0,10449,0
2117,Spouse,0,1542,0
1542,Spouse,0,2117,0
2565,Spouse,0,2564,0
3128,Husband,0,19571,0
19571,Spouse,0,3128,0
2564,Spouse,0,2565,0
10449,Spouse,0,10448,0
5330,Spouse,0,5331,0
5331,Spouse,0,5330,0
10143,Spouse,0,10142,0
10142,Spouse,0,10143,0
5999,Spouse,0,6000,0
6000,Spouse,0,5999,0
7996,Employee,1,7995,0
9269,Spouse,0,9268,0
9268,Spouse,0,9269,0
10259,Spouse,0,10258,0
10258,Spouse,0,10259,0
6199,Spouse,0,6198,0
6198,Spouse,0,6199,0
21196,Spouse,0,21496,0
3936,Spouse,0,3937,0
21496,Spouse,0,21196,0
3937,Spouse,0,3936,0
2948,Spouse,0,2949,0
2949,Spouse,0,2948,0
6983,Spouse,0,6982,0
6982,Spouse,0,6983,0
2147,Spouse,0,2146,0
2146,Spouse,0,2147,0
2950,Spouse,0,2951,0
1217,Spouse,0,1261,0
1261,Spouse,0,1217,0
2951,Spouse,0,2950,0
9216,Spouse,0,9215,0
1715,Spouse,0,9190,0
3720,Spouse,0,6457,0
9215,Spouse,0,9216,0
6457,Spouse,0,3720,0
9190,Spouse,0,1715,0
1107,Spouse,0,2218,0
