,Donation ID,Constituent Number,Received Date,Donation Amount,Thank You Letter ID,Thank You Letter,Fund Name,Campaign Name,Co-Donor Exists,DonationSize_onehundred,Recurring Donor
0,1000,42,1/1/2011 0:00,20,,,In Kind,2011 In-Kind,1,0,1
1,1001,42,12/31/2012 0:00,200,,,In Kind,2013 In Kind,1,1,1
2,1002,42,1/21/2013 0:00,100,,,In Kind,2013 In Kind,1,0,1
3,1003,63,9/1/2014 0:00,1099,,,Capital Campaign,2014 In Kind,1,1,1
4,1004,63,7/23/2015 0:00,1328.09,,,In Kind,2015 In-Kind,1,1,1
5,1005,81,12/31/2014 0:00,400,,,Macedonia,2014 Cornelius Chris,1,1,1
6,1006,93,9/4/2014 0:00,30,,,Friendraiser Banquet,2014 In Kind,0,0,1
7,1007,120,9/5/2013 0:00,225,,,In Kind,2013 Friendraiser Ba,1,1,1
8,1008,122,9/5/2013 0:00,120,,,In Kind,2013 Friendraiser Ba,0,1,1
9,1009,122,9/5/2013 0:00,80,,,In Kind,2013 Friendraiser Ba,0,0,1
10,1010,122,9/4/2014 0:00,210,,,Friendraiser Banquet,2014 In Kind,0,1,1
11,1011,122,6/9/2015 0:00,50,,,In Kind,2015 In-Kind,0,0,1
12,1012,122,8/25/2015 0:00,200,,,In Kind,2015 In-Kind,0,1,1
13,1013,122,9/24/2015 0:00,450,,,In Kind,2015 In-Kind,0,1,1
14,1014,122,5/6/2016 0:00,300,,,In Kind,2016 In Kind,0,1,1
15,1015,138,10/24/2014 0:00,37694.03,,,Capital Campaign,2014 In Kind,0,1,1
16,1016,138,3/1/2015 0:00,10363.15,,,In Kind,2015 In-Kind,0,1,1
17,1017,139,12/31/2011 0:00,250,,,In Kind,2011 In-Kind,0,1,1
19,1019,139,9/27/2014 0:00,200,,,In Kind,2014 In Kind,0,1,1
20,1020,139,12/31/2014 0:00,500,,,Macedonia,2014 Cornelius Chris,0,1,1
21,1021,139,12/14/2015 0:00,700,,,Macedonia,2015 Cornelius Chris,0,1,1
22,1022,142,6/5/2013 0:00,100,,,In Kind,2013 Golf Classic,0,0,1
23,1023,144,3/31/2012 0:00,100,,,In Kind,2012 Special Kids Ra,0,0,1
24,1024,144,9/4/2014 0:00,200,,,Friendraiser Banquet,2014 In Kind,0,1,1
25,1025,144,5/7/2015 0:00,50,,,In Kind,2015 Golf Classic,0,0,1
26,1026,145,3/31/2012 0:00,100,,,In Kind,2012 Special Kids Ra,0,0,1
27,1027,145,4/16/2013 0:00,5000,,,In Kind,2013 Special Kids Ra,0,1,1
28,1028,145,3/22/2014 0:00,2500,,,In Kind,2014 Special Kids Ra,0,1,1
29,1029,145,9/4/2014 0:00,119,,,Friendraiser Banquet,2014 In Kind,0,1,1
30,1030,145,3/21/2015 0:00,2500,,,In Kind,2015 Special Kids Ra,0,1,1
31,1031,145,9/24/2015 0:00,99,,,In Kind,2015 In-Kind,0,0,1
32,1032,145,3/19/2016 0:00,2500,,,In Kind,2016 In Kind,0,1,1
33,1033,151,1/1/2012 0:00,2799,,,In Kind,2012 In Kind,0,1,1
35,1035,155,1/25/2013 0:00,300,,,In Kind,2013 In Kind,0,1,1
36,1036,155,9/5/2013 0:00,128,,,In Kind,2013 Friendraiser Ba,0,1,1
37,1037,157,5/10/2012 0:00,50,,,In Kind,2012 Golf Classic,0,0,1
38,1038,157,9/5/2013 0:00,50,,,In Kind,2013 Friendraiser Ba,0,0,1
39,1039,157,9/4/2014 0:00,50,,,Friendraiser Banquet,2014 In Kind,0,0,1
40,1040,157,5/7/2015 0:00,50,,,In Kind,2015 Golf Classic,0,0,1
41,1041,157,9/24/2015 0:00,50,,,In Kind,2015 In-Kind,0,0,1
42,1042,157,5/6/2016 0:00,50,,,In Kind,2016 In Kind,0,0,1
